x1,y1,x2,y2,step,time,direction
10,10,110,110,0,0,1
11,11,111,111,1,0.0174524064,1
14,14,114,114,2,0.0348994967,1
19,19,119,119,3,0.0523359562,1
25,25,125,125,4,0.0697564737,1
33,33,133,133,5,0.0871557428,1
43,43,143,143,6,0.1045284633,1
55,55,155,155,7,0.1218693434,1
68,68,168,168,8,0.139173101,1
83,83,183,183,9,0.156434465,1
100,100,200,200,10,0.1736481777,1
119,119,219,219,11,0.1908089954,1
139,139,239,239,12,0.2079116908,1
161,161,261,261,13,0.2249510543,1
185,185,285,285,14,0.2419218956,1
210,210,310,310,15,0.2588190451,1
237,237,337,337,16,0.2756373558,1
266,266,366,366,17,0.2923717047,1
296,296,396,396,18,0.3090169944,1
328,328,428,428,19,0.3255681545,1
362,362,462,462,20,0.3420201433,1
397,397,497,497,21,0.3583679495,1
434,434,534,534,22,0.3746065934,1
473,473,573,573,23,0.3907311285,1
513,513,613,613,24,0.4067366431,1
555,555,655,655,25,0.4226182617,1
598,598,698,698,26,0.4383711468,1
643,643,743,743,27,0.4539904997,1
689,689,789,789,28,0.4694715628,1
640,640,740,740,29,-0.4848096202,-1
590,590,690,690,30,-0.5,-1
538,538,638,638,31,-0.5150380749,-1
485,485,585,585,32,-0.5299192642,-1
430,430,530,530,33,-0.544639035,-1
374,374,474,474,34,-0.5591929035,-1
316,316,416,416,35,-0.5735764364,-1
257,257,357,357,36,-0.5877852523,-1
196,196,296,296,37,-0.6018150232,-1
134,134,234,234,38,-0.6156614753,-1
71,71,171,171,39,-0.629320391,-1
6,6,106,106,40,-0.6427876097,-1
71,71,171,171,41,0.656059029,1
137,137,237,237,42,0.6691306064,1
205,205,305,305,43,0.6819983601,1
274,274,374,374,44,0.6946583705,1
344,344,444,444,45,0.7071067812,1
415,415,515,515,46,0.7193398003,1
488,488,588,588,47,0.7313537016,1
562,562,662,662,48,0.7431448255,1
637,637,737,737,49,0.7547095802,1
713,713,813,813,50,0.7660444431,1
635,635,735,735,51,-0.7771459615,-1
556,556,656,656,52,-0.7880107536,-1
476,476,576,576,53,-0.79863551,-1
395,395,495,495,54,-0.8090169944,-1
313,313,413,413,55,-0.8191520443,-1
230,230,330,330,56,-0.8290375726,-1
146,146,246,246,57,-0.8386705679,-1
61,61,161,161,58,-0.8480480962,-1
146,146,246,246,59,0.8571673007,1
232,232,332,332,60,0.8660254038,1
319,319,419,419,61,0.8746197071,1
407,407,507,507,62,0.8829475929,1
496,496,596,596,63,0.8910065242,1
585,585,685,685,64,0.8987940463,1
675,675,775,775,65,0.906307787,1
766,766,866,866,66,0.9135454576,1
858,858,958,958,67,0.9205048535,1
950,950,1050,1050,68,0.9271838546,1
856,856,956,956,69,-0.9335804265,-1
762,762,862,862,70,-0.9396926208,-1
667,667,767,767,71,-0.9455185756,-1
571,571,671,671,72,-0.9510565163,-1
475,475,575,575,73,-0.956304756,-1
378,378,478,478,74,-0.9612616959,-1
281,281,381,381,75,-0.9659258263,-1
